name,cards.nodes.note,cards.nodes.content.id,cards.nodes.content.number,cards.nodes.content.title,cards.nodes.content,cards.pageInfo.hasNextPage,cards.pageInfo.endCursor,cards.totalCount
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NTQzMzM1MDE=,592,User Experience Testing on the Export Issues GUI,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NTg1NDA2Njk=,621,Set up domain verification for the `department-of-veterans-affairs` organization.  This is different than what we did for connect.,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2OTAzMzYxMDc=,770,Meeting notes: Services Weekly Sync 9/1/20,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NTgzOTcyNjc=,619,Characteristics of users who haven't logged in in 90 days,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NjY0NjM4MDY=,643,Record security webinar: detected secrets,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NDUwMjA5OTU=,540,Audit user invites,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NTg1NDkzMDM=,623,Verify domain for va.gov on .com,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NTQyMzIxMzQ=,588,master to main epic,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NjY0Mzk5MjA=,642,Improve invite handling for existing users,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NDc4Mzg4NTA=,556,Offer and Record Security Webinar,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NjQ4MTgwNDE=,637,Increase code.gov scores related to CSS group,,,,
